school_name,web_domain,type,last_visited,status,sources,years_registered
University of Gothenburg,gu.se,university/college,2026-09-16,Active,openalex:page14;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Karolinska Institutet,ki.se,university/college,2026-09-15,Active,openalex:page6;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Skandinaviska Kiropraktorhögskolan,kiropraktorhogskolan.se,university/college,2026-09-17,Inaccessible,ror:api-p3,
KTH Royal Institute of Technology,kth.se,university/college,2026-09-18,Active,openalex:page19;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Lund University,lu.se,university/college,2026-09-15,Active,openalex:page6;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Skandinaviska Kiropraktorhögskolan,nimm.se,university/college,2026-09-16,Active,redirect:kiropraktorhogskolan.se,
Stockholm University,su.se,university/college,2026-09-17,Active,openalex:page17;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
Uppsala University,uu.se,university/college,2026-09-15,Active,openalex:page8;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19,
