school_name,web_domain,type,last_visited,status,sources,years_registered
Al Kawther Secondary Independent School for Girls,alkawther-english.com,university/college,2026-09-17,Inaccessible,ror:api-p18,
American School of Doha,asd.sch.qa,university/college,2026-09-17,Active,ror:api-p18,
The English Modern School,ems.sch.qa,university/college,2026-09-17,Active,redirect:englishmodernschool.net,
The English Modern School,englishmodernschool.net,university/college,2026-09-17,Inaccessible,ror:api-p18,16
Awsaj Academy,tlc.edu.qa,university/college,2026-09-17,Inaccessible,ror:api-p18,
