school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Ecole Supérieure de Gestion et d’Administration des Entreprises,esgae.org,university/college,2026-09-14,Active,wikidata:P856,20,,,,
University Marien Ngouabi Brazzaville,univ-mngb.net,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,3,0,fetch-error:ConnectionError,univ-mngb.net,
