school_name,web_domain,type,last_visited,status,sources,years_registered
Universitat Autònoma de Barcelona,uab.cat,university/college,2026-09-16,Active,openalex:page11,
Universidad Autónoma de Madrid,uam.es,university/college,2026-09-17,Active,openalex:page17;hipo:2026-09-17,
Universidad Complutense de Madrid,ucm.es,university/college,2026-09-16,Active,openalex:page11;hipo:2026-09-17,
Universidad de Granada,ugr.es,university/college,2026-09-17,Active,openalex:page17;hipo:2026-09-17,
Universitat de València,uv.es,university/college,2026-09-17,Inaccessible,openalex:page16;hipo:2026-09-17,
Universitat de Barcelona,web.ub.edu,university/college,2026-09-15,Inaccessible,openalex:page9,
