school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Føroya Læraraskúli,flsk.fo,university/college,2026-09-18,Inaccessible,wikidata:P856,,,,,
University of the Faroe Islands,setur.fo,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22,16,80,http-2xx-html+multi-source+edu-keywords+substantial-content,setur.fo,fo
