school_name,web_domain,type,last_visited,status,sources,years_registered
Irish Archaeology Field School,iafs.ie,university/college,2026-09-17,Active,ror:api-p17,
Kerry Education and Training Board,kerryetb.ie,university/college,2026-09-17,Active,ror:api-p17,
Project Arts Centre,projectartscentre.ie,university/college,2026-09-17,Active,ror:api-p17,
Royal College of Surgeons of Ireland,rcsi.com,university/college,2026-09-16,Active,wikidata:P856,22
University College Dublin,ucd.ie,university/college,2026-09-18,Inaccessible,openalex:page21;hipo:2026-09-17;hipo:2026-09-18,
