school_name,web_domain,type,last_visited,status,sources,years_registered
Al Manhal University Academy of Science,manhalacademy.edu.sd,university/college,2026-09-14,Inaccessible,wikidata:P856,9
Sudan Technological University,stu.edu.sd,university/college,2026-09-15,Inaccessible,wikidata:P856,4
