school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Fiji National University,fnu.ac.fj,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,16,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,fnu.ac.fj,en-us
Fiji School of Medicine,fsm.ac.fj,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,0,fetch-error:ConnectionError,fsm.ac.fj,
University of Fiji,unifiji.ac.fj,university/college,2026-09-22,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,21,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,unifiji.ac.fj,en-us
University of the South Pacific,usp.ac.fj,university/college,2026-09-22,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,25,0,fetch-error:ConnectTimeout,usp.ac.fj,
