school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Dubai Pharmacy College,dpc.edu,university/college,2026-09-14,Inaccessible,ror:api-p6;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,25,,,,
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),mbzuai.ac.ae,university/college,2026-09-16,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,,,,
