school_name,web_domain,type,last_visited,status,sources,years_registered
"American University of the Caribbean, School of Medicine",aucmed.edu,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,29
Central America Health Sciences University (Belize Medical College),cahsu.edu,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,28
Greenford International University,giuedu.bz,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Belize,ub.edu.bz,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
West Coast University (WCU),westcoastuniversity.bz,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
