school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"École Nationale d'Administration, Burundi",ena.bi,university/college,2026-09-18,Inaccessible,wikidata:P856,,,,,
Hope Africa University,hopeafricauniversity.org,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,23,,,,
Institut National de Santé Publique,insp.bi,university/college,2026-09-17,Inaccessible,wikidata:P856,,,,,
Institut National de Santé Publique,insp.gov.bi,university/college,2026-09-17,Inaccessible,redirect:insp.bi,,,,,
Université du Burundi,ub.edu.bi,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Université Lumière de Bujumbura,ulbu.bi,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,,,,
Université Polytechnique Intégrée,upi.edu.bi,university/college,2026-09-20,Inaccessible,wikidata:P856,,,,,
