school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
International College of the Cayman Islands,icci.edu.ky,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,12,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,icci.edu.ky,en-us
St. Matthews University,stmatthews.edu,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25,29,80,http-2xx-html+multi-source+edu-keywords+structure,stmatthews.edu,en
