school_name,web_domain,type,last_visited,status,sources,years_registered
Institut Teknologi Brunei,itb.edu.bn,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
University of Brunei Darussalam,ubd.edu.bn,university/college,2026-09-20,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
Universiti Islam Sultan Sharif Ali,unissa.edu.bn,university/college,2026-09-20,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20,
