school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Cayetano Heredia Peruvian University,cayetano.edu.pe,university/college,2026-09-14,Active,whed:IAU-018192,,,,,
Pontifical Catholic University of Peru,pucp.edu.pe,university/college,2026-09-22,Inaccessible,whed:IAU-013663;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,0,fetch-error:ConnectTimeout,pucp.edu.pe,
Universidad de Ingeniería y Tecnología,utec.edu.pe,university/college,2026-09-15,Active,ror:api-p10;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23,,,,,
