school_name,web_domain,type,last_visited,status,sources,years_registered
Université Notre Dame du Kasayi,uka-rdc.org,university/college,2026-09-14,Inaccessible,wikidata:P856,
Université de Bunia,unibu.org,university/college,2026-09-14,Inaccessible,wikidata:P856,2
Université Officielle de Ruwenzori,uor-rdc.net,university/college,2026-09-20,Inaccessible,wikidata:P856,10
Université Officielle de Ruwenzori,uor.ac,university/college,2026-09-20,Active,redirect:uor-rdc.net,
Université des Sciences et Technologies de Lodja,ust-lodja.org,university/college,2026-09-20,Inaccessible,wikidata:P856,
