school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Institut supérieur des Mines et Géologie de Boké,ismg-boke.com,university/college,2026-09-15,Inaccessible,wikidata:P856,,,,,
Université Gamal Abdel Nasser de Conakry,uganc.org,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,5,5,http-403,uganc.org,
Université Julius Nyerere Kankan,ujnk.org,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,0,0,fetch-error:ConnectionError,ujnk.org,
Université Kofi Annan,univ-kag.org,university/college,2026-09-24,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,5,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,univ-kag.org,fr-fr
Université Thierno Amadou Diallo,utad-petel-edu.org,university/college,2026-09-24,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24;hipo:2026-09-25;hipo:2026-09-26,,0,fetch-error:ConnectionError,utad-petel-edu.org,
