school_name,web_domain,type,last_visited,status,sources,years_registered
Nanyang Technological University,ntu.edu.sg,university/college,2026-09-15,Active,openalex:page9;hipo:2026-09-17,30
National University of Singapore,nus.edu.sg,university/college,2026-09-14,Active,openalex:page4;hipo:2026-09-17,30
