school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
"École Nationale d'Administration, Tchad",ena.td,university/college,2026-09-18,Active,wikidata:P856,,,,,
Université de N'Djamena,univ-ndjamena.org,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,16,5,empty-body,univ-ndjamena.org,
