school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Universidad de Magallanes,umag.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,umag.cl,es-cl
Universidad Maritima de Chile,umaritima.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectTimeout,umaritima.cl,
Universidad Mayor,umayor.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,umayor.cl,es
Universidad Metropolitana de Ciencias de la Educación,umce.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,umce.cl,
Universidad Mariano Egaña,ume.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,ume.cl,
Universidad Nacional Andrés Bello,unab.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,unab.cl,es-es
Universidad Adventista de Chile,unachile.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,unachile.cl,
"Universidad ""Arturo Prat""",unap.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,40,low-confidence:http-2xx-html+multi-source+non-educational-content,unap.cl,es
Universidad Francisco de Aguirre,unfa.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,unfa.cl,
Universidad UNIACC,uniacc.cl,university/college,2026-09-20,Active,ror:api-p2;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,,,,
Universidad Iberoamericana de Ciencias y Tecnologia,unicit.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,unicit.cl,en-us
Universidad Arcis,universidadarcis.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,universidadarcis.cl,es-cl
Universidad de Playa Ancha de Ciencias de la Educacion,upa.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,40,low-confidence:http-2xx-html+multi-source+structure+non-educational-content,upa.cl,en-us
Universidad del Pacífico,upacifico.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,upacifico.cl,es
Universidad de Santiago de Chile,usach.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,usach.cl,es
Universidad de San Andres,usanandres.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectionError,usanandres.cl,
Universidad de La Serena,userena.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,80,http-2xx-html+multi-source+edu-keywords+substantial-content,userena.cl,es-es
Federico Santa María Technical University,usm.cl,university/college,2026-09-20,Active,hipo:2026-09-11;wikidata:P856;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;redirect:utfsm.cl,,,,,
Universidad San Sebastian,uss.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,5,http-403,uss.cl,
Universidad Santo Tomás,ust.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,ust.cl,es-cl
Universidad de Tarapacá,uta.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectTimeout,uta.cl,
Universidad de Talca,utalca.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,0,fetch-error:ConnectTimeout,utalca.cl,
Universidad Tecnológica Metropolitana,utem.cl,university/college,2026-09-21,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,utem.cl,es-cl
"Universidad Técnica ""Federico Santa María""",utfsm.cl,university/college,2026-09-21,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,,40,moved-to:usm.cl,usm.cl,es-es
