domain,url,name,country,type,source,last_checked
stanford.edu,https://stanford.edu,Stanford University,US,university,wikidata-seed,2026-09-11
ox.ac.uk,https://www.ox.ac.uk,University of Oxford,GB,university,wikidata-seed,2026-09-11
